recipient_region,recipient_offset,recipient_length,mode,expert_mask,mini_model_mask,profile_id,stream_class,donor_count,donors,vr_min_length,vr_event_count,baseline_payload_bytes,candidate_payload_bytes,gross_gain_bytes,standalone_plan_bytes,net_gain_bytes,candidate_count,exact_trials,status
133,139489128,1050639,baseline,0,0,0,10,0,-,0,0,257235,257235,0,0,0,110,110,baseline
134,140539767,1048234,baseline,0,0,0,10,0,-,0,0,260181,260181,0,0,0,110,110,baseline
135,141588001,1047941,baseline,0,0,0,10,0,-,0,0,257079,257079,0,0,0,110,110,baseline
136,142635942,1048683,baseline,0,0,0,10,0,-,0,0,258044,258044,0,0,0,110,110,baseline
137,143684625,1059844,baseline,0,0,0,10,0,-,0,0,241143,241143,0,0,0,111,111,baseline
138,144744469,1047857,baseline,0,0,0,10,0,-,0,0,239515,239515,0,0,0,111,111,baseline
139,145792326,1049713,baseline,0,0,0,10,0,-,0,0,244381,244381,0,0,0,110,110,baseline
140,146842039,1044950,baseline,0,0,0,10,0,-,0,0,250303,250303,0,0,0,110,110,baseline
141,147886989,1046933,baseline,0,0,0,10,0,-,0,0,262370,262370,0,0,0,110,110,baseline
142,148933922,1051128,baseline,0,0,0,10,0,-,0,0,252130,252130,0,0,0,110,110,baseline
143,149985050,1044901,baseline,0,0,0,10,0,-,0,0,245067,245067,0,0,0,110,110,baseline
144,151029951,1040616,baseline,0,0,0,10,0,-,0,0,189586,189586,0,0,0,111,111,baseline
145,152070567,1048142,baseline,0,0,0,10,0,-,0,0,246983,246983,0,0,0,110,110,baseline
146,153118709,1046941,baseline,0,0,0,10,0,-,0,0,247502,247502,0,0,0,110,110,baseline
147,154165650,1049166,baseline,0,0,0,10,0,-,0,0,243168,243168,0,0,0,110,110,baseline
148,155214816,1048578,baseline,0,0,0,10,0,-,0,0,237047,237047,0,0,0,110,110,baseline
149,156263394,1050649,baseline,0,0,0,10,0,-,0,0,224784,224784,0,0,0,111,111,baseline
150,157314043,1046398,baseline,0,0,0,10,0,-,0,0,192759,192759,0,0,0,111,111,baseline
151,158360441,1048546,baseline,0,0,0,10,0,-,0,0,200318,200318,0,0,0,111,111,baseline
152,159408987,1048203,baseline,0,0,0,10,0,-,0,0,183727,183727,0,0,0,110,110,baseline
153,160457190,1049443,baseline,0,0,0,10,0,-,0,0,194563,194563,0,0,0,111,111,baseline
154,161506633,1047273,baseline,0,0,0,10,0,-,0,0,192011,192011,0,0,0,110,110,baseline
155,162553906,1047278,baseline,0,0,0,10,0,-,0,0,196292,196292,0,0,0,111,111,baseline
156,163601184,1044809,baseline,0,0,0,10,0,-,0,0,165150,165150,0,0,0,111,111,baseline
157,164645993,1046364,baseline,0,0,0,10,0,-,0,0,210860,210860,0,0,0,110,110,baseline
158,165692357,1048654,baseline,0,0,0,10,0,-,0,0,226820,226820,0,0,0,110,110,baseline
159,166741011,1051639,baseline,0,0,0,10,0,-,0,0,202798,202798,0,0,0,110,110,baseline
160,167792650,1046187,baseline,0,0,0,10,0,-,0,0,225917,225917,0,0,0,111,111,baseline
161,168838837,1043875,baseline,0,0,0,10,0,-,0,0,244977,244977,0,0,0,110,110,baseline
162,169882712,1048075,baseline,0,0,0,10,0,-,0,0,241573,241573,0,0,0,110,110,baseline
163,170930787,1044859,baseline,0,0,0,10,0,-,0,0,257324,257324,0,0,0,110,110,baseline
