recipient_region,recipient_offset,span_rank,span_offset,emitted_bytes
79,82895685,5,83256133,1168
79,82895685,6,83940165,1162
79,82895685,7,83362629,1140
80,83944520,0,84427848,1415
80,83944520,1,84440136,1366
80,83944520,2,84501576,1362
80,83944520,3,84497480,1326
80,83944520,4,84046920,1317
80,83944520,5,84431944,1308
80,83944520,6,84714568,1308
80,83944520,7,84423752,1292
81,84989531,0,85501531,1332
81,84989531,1,85161563,1330
81,84989531,2,85706331,1327
81,84989531,3,85468763,1326
81,84989531,4,85108315,1301
81,84989531,5,85665371,1295
81,84989531,6,85710427,1295
81,84989531,7,85735003,1280
82,86038265,0,86435577,1302
82,86038265,1,86386425,1286
82,86038265,2,86804217,1270
82,86038265,3,86042361,1263
82,86038265,4,86267641,1246
82,86038265,5,86189817,1243
82,86038265,6,86746873,1237
82,86038265,7,86185721,1220
83,87087641,0,88123929,1396
83,87087641,1,88095257,1373
83,87087641,2,88119833,1355
83,87087641,3,88091161,1328
83,87087641,4,88058393,1318
83,87087641,5,88070681,1315
83,87087641,6,87800345,1304
83,87087641,7,88066585,1301
84,88136600,0,88628120,1281
84,88136600,1,88615832,1257
84,88136600,2,88423320,1240
84,88136600,3,88451992,1229
84,88136600,4,88619928,1222
84,88136600,5,88718232,1219
84,88136600,6,88370072,1212
84,88136600,7,88664984,1212
85,89184861,0,89274973,1332
85,89184861,1,89324125,1118
85,89184861,2,89705053,1079
85,89184861,3,89270877,1066
85,89184861,4,89320029,1043
85,89184861,5,90020445,1041
85,89184861,6,89922141,1036
85,89184861,7,89447005,1024
86,90235200,0,90640704,1165
86,90235200,1,90562880,1149
86,90235200,2,90558784,1145
86,90235200,3,90509632,1142
86,90235200,4,90337600,1129
86,90235200,5,90333504,1128
86,90235200,6,90554688,1125
86,90235200,7,90526016,1062
87,91284118,0,91628182,1234
87,91284118,1,91619990,1140
87,91284118,2,91710102,1124
87,91284118,3,91984534,1070
87,91284118,4,91615894,1056
87,91284118,5,92103318,1049
87,91284118,6,92226198,1000
87,91284118,7,92070550,996
88,92334574,0,93108718,1241
88,92334574,1,92604910,1209
88,92334574,2,92932590,1119
88,92334574,3,92936686,1097
88,92334574,4,93121006,1096
88,92334574,5,93104622,1085
88,92334574,6,93239790,1082
88,92334574,7,92400110,1078
89,93379564,0,93981676,1334
89,93379564,1,93854700,1273
89,93379564,2,94260204,1265
89,93379564,3,93391852,1256
89,93379564,4,94395372,1183
89,93379564,5,94034924,1131
89,93379564,6,94370796,1124
89,93379564,7,94268396,1101
90,94428006,0,94612326,1328
90,94428006,1,95099750,1327
90,94428006,2,95091558,1284
