region,baseline_payload,candidate_payload,assignment_cost,span_cost,copy_cost,candidate_total,saving_bytes,improvement_percent,status
92,257793,257793,0,0,0,257793,0,0.0000,REJECTED_SAVED
93,277777,277777,0,0,0,277777,0,0.0000,REJECTED_SAVED
94,271617,271617,0,0,0,271617,0,0.0000,REJECTED_SAVED
95,259824,259824,0,0,0,259824,0,0.0000,REJECTED_SAVED
96,263197,263197,0,0,0,263197,0,0.0000,REJECTED_SAVED
97,251987,251987,0,0,0,251987,0,0.0000,REJECTED_SAVED
98,264530,264530,0,0,0,264530,0,0.0000,REJECTED_SAVED
99,251345,251345,0,0,0,251345,0,0.0000,REJECTED_SAVED
100,259523,259523,0,0,0,259523,0,0.0000,REJECTED_SAVED
101,272180,272180,0,0,0,272180,0,0.0000,REJECTED_SAVED
102,274677,274677,0,0,0,274677,0,0.0000,REJECTED_SAVED
103,261190,261190,0,0,0,261190,0,0.0000,REJECTED_SAVED
104,252266,252266,0,0,0,252266,0,0.0000,REJECTED_SAVED
105,264911,264911,0,0,0,264911,0,0.0000,REJECTED_SAVED
106,246926,246926,0,0,0,246926,0,0.0000,REJECTED_SAVED
107,252245,252245,0,0,0,252245,0,0.0000,REJECTED_SAVED
108,256587,256587,0,0,0,256587,0,0.0000,REJECTED_SAVED
109,249806,249806,0,0,0,249806,0,0.0000,REJECTED_SAVED
110,256985,256985,0,0,0,256985,0,0.0000,REJECTED_SAVED
111,248795,248795,0,0,0,248795,0,0.0000,REJECTED_SAVED
112,272741,272741,0,0,0,272741,0,0.0000,REJECTED_SAVED
113,270774,270774,0,0,0,270774,0,0.0000,REJECTED_SAVED
114,273022,273022,0,0,0,273022,0,0.0000,REJECTED_SAVED
115,239329,239329,0,0,0,239329,0,0.0000,REJECTED_SAVED
116,261875,261875,0,0,0,261875,0,0.0000,REJECTED_SAVED
117,254293,254293,0,0,0,254293,0,0.0000,REJECTED_SAVED
118,211733,211733,0,0,0,211733,0,0.0000,REJECTED_SAVED
119,225762,225762,0,0,0,225762,0,0.0000,REJECTED_SAVED
120,255270,255270,0,0,0,255270,0,0.0000,REJECTED_SAVED
121,228297,228297,0,0,0,228297,0,0.0000,REJECTED_SAVED
122,247288,247288,0,0,0,247288,0,0.0000,REJECTED_SAVED
123,253764,253764,0,0,0,253764,0,0.0000,REJECTED_SAVED
124,259602,259602,0,0,0,259602,0,0.0000,REJECTED_SAVED
125,270958,270958,0,0,0,270958,0,0.0000,REJECTED_SAVED
126,246709,246709,0,0,0,246709,0,0.0000,REJECTED_SAVED
127,247976,247976,0,0,0,247976,0,0.0000,REJECTED_SAVED
128,242566,242566,0,0,0,242566,0,0.0000,REJECTED_SAVED
129,231967,231967,0,0,0,231967,0,0.0000,REJECTED_SAVED
130,261550,261550,0,0,0,261550,0,0.0000,REJECTED_SAVED
131,254258,254258,0,0,0,254258,0,0.0000,REJECTED_SAVED
132,244252,244252,0,0,0,244252,0,0.0000,REJECTED_SAVED
133,257235,257235,0,0,0,257235,0,0.0000,REJECTED_SAVED
134,260181,260181,0,0,0,260181,0,0.0000,REJECTED_SAVED
135,257079,257079,0,0,0,257079,0,0.0000,REJECTED_SAVED
136,258044,258044,0,0,0,258044,0,0.0000,REJECTED_SAVED
