offset,length,experts,stream_class,profile,residual_gain,pack_id,status
38466,131,oracle+donor_profile,xml,0,0.25,182858,oracle_only
38600,100,oracle+donor_profile,xml,0,0.25,182859,oracle_only
38703,99,oracle+donor_profile,xml,0,0.25,182860,oracle_only
38805,144,oracle+donor_profile,xml,0,0.25,182861,oracle_only
38952,83,oracle+donor_profile,xml,0,0.25,182862,oracle_only
39038,109,oracle+donor_profile,xml,0,0.25,182863,oracle_only
39150,121,oracle+donor_profile,xml,0,0.25,182864,oracle_only
39274,127,oracle+donor_profile,xml,0,0.25,182865,oracle_only
39404,133,oracle+donor_profile,xml,0,0.25,182866,oracle_only
39540,86,oracle+donor_profile,xml,0,0.25,182867,oracle_only
39629,108,oracle+donor_profile,xml,0,0.25,182868,oracle_only
39740,114,oracle+donor_profile,xml,0,0.25,182869,oracle_only
39857,120,oracle+donor_profile,xml,0,0.25,182870,oracle_only
39980,158,oracle+donor_profile,xml,0,0.25,182871,oracle_only
40141,151,oracle+donor_profile,xml,0,0.25,182872,oracle_only
40295,132,oracle+donor_profile,xml,0,0.25,182873,oracle_only
40430,124,oracle+donor_profile,xml,0,0.25,182874,oracle_only
40557,125,oracle+donor_profile,xml,0,0.25,182875,oracle_only
40685,114,oracle+donor_profile,xml,0,0.25,182876,oracle_only
40802,132,oracle+donor_profile,xml,0,0.25,182877,oracle_only
40937,133,oracle+donor_profile,xml,0,0.25,182878,oracle_only
41073,134,oracle+donor_profile,xml,0,0.25,182879,oracle_only
41210,138,oracle+donor_profile,xml,0,0.25,182880,oracle_only
41351,177,oracle+donor_profile,url,0,0.25,182881,oracle_only
41531,131,oracle+donor_profile,xml,0,0.25,182882,oracle_only
41665,82,oracle+donor_profile,xml,0,0.25,182883,oracle_only
41750,108,oracle+donor_profile,xml,0,0.25,182884,oracle_only
41861,115,oracle+donor_profile,xml,0,0.25,182885,oracle_only
41979,124,oracle+donor_profile,xml,0,0.25,182886,oracle_only
42106,108,oracle+donor_profile,xml,0,0.25,182887,oracle_only
42217,114,oracle+donor_profile,xml,0,0.25,182888,oracle_only
42334,121,oracle+donor_profile,xml,0,0.25,182889,oracle_only
42458,102,oracle+donor_profile,xml,0,0.25,182890,oracle_only
42563,182,oracle+donor_profile,xml,0,0.25,182891,oracle_only
