pack_id,recipient_offset,recipient_length,candidate_rank,donor_offset,donor_length,phrase_score,signature_hits
37,9590435,261670,4,4321280,4096,1,1
37,9590435,261670,5,4354048,4096,1,1
37,9590435,261670,6,4403200,4096,1,1
37,9590435,261670,7,5124096,4096,1,1
37,9590435,261670,8,5242880,4096,1,1
37,9590435,261670,9,5337088,4096,1,1
37,9590435,261670,10,5619712,4096,1,1
37,9590435,261670,11,5652480,4096,1,1
38,9852108,261064,0,8417280,4096,2,2
38,9852108,261064,1,24576,4096,1,1
38,9852108,261064,2,32768,4096,1,1
38,9852108,261064,3,40960,4096,1,1
38,9852108,261064,4,90112,4096,1,1
38,9852108,261064,5,98304,4096,1,1
38,9852108,261064,6,196608,4096,1,1
38,9852108,261064,7,7843840,4096,1,1
38,9852108,261064,8,8019968,4096,1,1
38,9852108,261064,9,8060928,4096,1,1
38,9852108,261064,10,8228864,4096,1,1
38,9852108,261064,11,8245248,4096,1,1
39,10113175,261039,0,8679424,4096,4,4
39,10113175,261039,1,24576,4096,2,2
39,10113175,261039,2,40960,4096,2,2
39,10113175,261039,3,3108864,4096,2,2
39,10113175,261039,4,4403200,4096,2,2
39,10113175,261039,5,5730304,4096,2,2
39,10113175,261039,6,5947392,4096,2,2
39,10113175,261039,7,6537216,4096,2,2
39,10113175,261039,8,7630848,4096,2,2
39,10113175,261039,9,7737344,4096,2,2
39,10113175,261039,10,8134656,4096,2,2
39,10113175,261039,11,8179712,4096,2,2
40,10374217,254759,0,8679424,4096,5,5
40,10374217,254759,1,53248,4096,4,4
40,10374217,254759,2,98304,4096,4,4
40,10374217,254759,3,143360,4096,4,4
40,10374217,254759,4,7774208,4096,4,4
40,10374217,254759,5,8036352,4096,4,4
40,10374217,254759,6,8962048,4096,4,4
40,10374217,254759,7,9220096,4096,4,4
40,10374217,254759,8,9711616,4096,4,4
40,10374217,254759,9,9732096,4096,4,4
40,10374217,254759,10,10096640,4096,4,4
40,10374217,254759,11,7630848,4096,3,3
41,10628979,257459,0,40960,4096,2,2
41,10628979,257459,1,5435392,4096,2,2
41,10628979,257459,2,6795264,4096,2,2
41,10628979,257459,3,7647232,4096,2,2
41,10628979,257459,4,7925760,4096,2,2
41,10628979,257459,5,7987200,4096,2,2
41,10628979,257459,6,8015872,4096,2,2
41,10628979,257459,7,8142848,4096,2,2
41,10628979,257459,8,8306688,4096,2,2
41,10628979,257459,9,8671232,4096,2,2
41,10628979,257459,10,8781824,4096,2,2
41,10628979,257459,11,9195520,4096,2,2
42,10886441,254238,0,3108864,4096,4,4
42,10886441,254238,1,2428928,4096,3,3
42,10886441,254238,2,6615040,4096,3,3
42,10886441,254238,3,6725632,4096,3,3
42,10886441,254238,4,6766592,4096,3,3
42,10886441,254238,5,8085504,4096,3,3
42,10886441,254238,6,8876032,4096,3,3
42,10886441,254238,7,8957952,4096,3,3
42,10886441,254238,8,32768,4096,1,1
42,10886441,254238,9,196608,4096,1,1
42,10886441,254238,10,1957888,4096,1,1
42,10886441,254238,11,3584000,4096,1,1
43,11140682,248230,0,98304,4096,2,2
43,11140682,248230,1,6766592,4096,2,2
43,11140682,248230,2,10825728,4096,2,2
43,11140682,248230,3,10870784,4096,2,2
43,11140682,248230,4,11030528,4096,2,2
43,11140682,248230,5,8192,4096,1,1
43,11140682,248230,6,16384,4096,1,1
43,11140682,248230,7,24576,4096,1,1
43,11140682,248230,8,32768,4096,1,1
43,11140682,248230,9,40960,4096,1,1
43,11140682,248230,10,53248,4096,1,1
43,11140682,248230,11,90112,4096,1,1
44,11388915,259258,0,10608640,4096,4,4
44,11388915,259258,1,10825728,4096,4,4
44,11388915,259258,2,53248,4096,3,3
44,11388915,259258,3,143360,4096,3,3
44,11388915,259258,4,9220096,4096,3,3
44,11388915,259258,5,9711616,4096,3,3
44,11388915,259258,6,10096640,4096,3,3
44,11388915,259258,7,10526720,4096,3,3
44,11388915,259258,8,32768,4096,2,2
44,11388915,259258,9,98304,4096,2,2
44,11388915,259258,10,196608,4096,2,2
44,11388915,259258,11,10756096,4096,2,2
45,11648176,261057,0,53248,4096,3,3
45,11648176,261057,1,143360,4096,3,3
45,11648176,261057,2,9711616,4096,3,3
45,11648176,261057,3,10096640,4096,3,3
45,11648176,261057,4,10526720,4096,3,3
45,11648176,261057,5,10608640,4096,3,3
45,11648176,261057,6,10825728,4096,3,3
45,11648176,261057,7,11505664,4096,3,3
45,11648176,261057,8,24576,4096,1,1
45,11648176,261057,9,40960,4096,1,1
45,11648176,261057,10,3584000,4096,1,1
45,11648176,261057,11,6438912,4096,1,1
46,11909236,260888,0,32768,4096,4,4
46,11909236,260888,1,196608,4096,4,4
46,11909236,260888,2,10764288,4096,4,4
46,11909236,260888,3,10870784,4096,4,4
46,11909236,260888,4,10993664,4096,4,4
46,11909236,260888,5,11030528,4096,4,4
46,11909236,260888,6,11169792,4096,4,4
46,11909236,260888,7,11677696,4096,4,4
46,11909236,260888,8,90112,4096,3,3
46,11909236,260888,9,98304,4096,3,3
46,11909236,260888,10,10813440,4096,3,3
46,11909236,260888,11,10899456,4096,3,3
47,12170127,259985,0,8953856,4096,4,4
47,12170127,259985,1,10297344,4096,4,4
47,12170127,259985,2,9400320,4096,3,3
47,12170127,259985,3,9461760,4096,3,3
47,12170127,259985,4,16384,4096,2,2
47,12170127,259985,5,98304,4096,2,2
47,12170127,259985,6,8806400,4096,2,2
47,12170127,259985,7,8949760,4096,2,2
47,12170127,259985,8,9445376,4096,2,2
47,12170127,259985,9,10326016,4096,2,2
47,12170127,259985,10,10825728,4096,2,2
47,12170127,259985,11,11210752,4096,2,2
48,12430115,246281,0,8626176,4096,4,4
48,12430115,246281,1,40960,4096,3,3
48,12430115,246281,2,7958528,4096,3,3
48,12430115,246281,3,8122368,4096,3,3
48,12430115,246281,4,8376320,4096,3,3
48,12430115,246281,5,12414976,4096,3,3
48,12430115,246281,6,24576,4096,2,2
48,12430115,246281,7,8552448,4096,2,2
48,12430115,246281,8,11747328,4096,2,2
48,12430115,246281,9,11821056,4096,2,2
48,12430115,246281,10,11960320,4096,2,2
48,12430115,246281,11,12029952,4096,2,2
49,12676399,242991,0,4853760,4096,2,2
49,12676399,242991,1,6004736,4096,2,2
49,12676399,242991,2,7274496,4096,2,2
49,12676399,242991,3,10575872,4096,2,2
49,12676399,242991,4,12177408,4096,2,2
49,12676399,242991,5,24576,4096,1,1
49,12676399,242991,6,40960,4096,1,1
49,12676399,242991,7,53248,4096,1,1
49,12676399,242991,8,143360,4096,1,1
49,12676399,242991,9,761856,4096,1,1
49,12676399,242991,10,2551808,4096,1,1
49,12676399,242991,11,3584000,4096,1,1
50,12919393,249091,0,8953856,4096,7,7
50,12919393,249091,1,12509184,4096,7,7
50,12919393,249091,2,9461760,4096,5,5
50,12919393,249091,3,12365824,4096,5,5
50,12919393,249091,4,7864320,4096,3,3
50,12919393,249091,5,9400320,4096,3,3
50,12919393,249091,6,12652544,4096,3,3
50,12919393,249091,7,8949760,4096,2,2
50,12919393,249091,8,12009472,4096,2,2
50,12919393,249091,9,12505088,4096,2,2
50,12919393,249091,10,32768,4096,1,1
50,12919393,249091,11,90112,4096,1,1
51,13168487,261106,0,13139968,4096,6,6
51,13168487,261106,1,13012992,4096,5,5
51,13168487,261106,2,8953856,4096,4,4
51,13168487,261106,3,9400320,4096,4,4
51,13168487,261106,4,8949760,4096,3,3
51,13168487,261106,5,9461760,4096,3,3
51,13168487,261106,6,13135872,4096,3,3
51,13168487,261106,7,13144064,4096,3,3
51,13168487,261106,8,2428928,4096,2,2
51,13168487,261106,9,3108864,4096,2,2
51,13168487,261106,10,7626752,4096,2,2
51,13168487,261106,11,8085504,4096,2,2
52,13429596,260054,0,24576,4096,2,2
52,13429596,260054,1,40960,4096,2,2
52,13429596,260054,2,90112,4096,2,2
52,13429596,260054,3,98304,4096,2,2
52,13429596,260054,4,8712192,4096,2,2
52,13429596,260054,5,11747328,4096,2,2
52,13429596,260054,6,11821056,4096,2,2
52,13429596,260054,7,11960320,4096,2,2
52,13429596,260054,8,12029952,4096,2,2
52,13429596,260054,9,12115968,4096,2,2
52,13429596,260054,10,12402688,4096,2,2
52,13429596,260054,11,12840960,4096,2,2
53,13689653,262099,0,10825728,4096,3,3
53,13689653,262099,1,53248,4096,2,2
53,13689653,262099,2,143360,4096,2,2
53,13689653,262099,3,6590464,4096,2,2
