recipient_region,recipient_offset,candidate_rank,donor_offset,donor_length,phrase_score,source
91,62512,0,11776,256,2,phrase_token
91,62512,1,11776,1024,2,phrase_token
91,62512,2,21504,4096,0,recent_fallback
91,62512,3,29696,4096,0,recent_fallback
91,62512,4,37888,4096,0,recent_fallback
91,62512,5,46080,4096,0,recent_fallback
91,62512,6,54272,4096,0,recent_fallback
92,63195,0,11776,256,1,phrase_token
92,63195,1,11776,1024,1,phrase_token
92,63195,2,22016,4096,0,recent_fallback
92,63195,3,30208,4096,0,recent_fallback
92,63195,4,38400,4096,0,recent_fallback
92,63195,5,46592,4096,0,recent_fallback
92,63195,6,54784,4096,0,recent_fallback
93,63879,0,6400,4096,0,recent_fallback
93,63879,1,14592,4096,0,recent_fallback
93,63879,2,22784,4096,0,recent_fallback
93,63879,3,30976,4096,0,recent_fallback
93,63879,4,39168,4096,0,recent_fallback
93,63879,5,47360,4096,0,recent_fallback
93,63879,6,55552,4096,0,recent_fallback
93,63879,0,6400,4096,0,recent_fallback
93,63879,1,14592,4096,0,recent_fallback
93,63879,2,22784,4096,0,recent_fallback
93,63879,3,30976,4096,0,recent_fallback
93,63879,4,39168,4096,0,recent_fallback
93,63879,5,47360,4096,0,recent_fallback
93,63879,6,55552,4096,0,recent_fallback
94,64438,0,11776,256,2,phrase_token
94,64438,1,11776,1024,2,phrase_token
94,64438,2,23296,4096,0,recent_fallback
94,64438,3,31488,4096,0,recent_fallback
94,64438,4,39680,4096,0,recent_fallback
94,64438,5,47872,4096,0,recent_fallback
94,64438,6,56064,4096,0,recent_fallback
95,65183,0,11776,256,2,phrase_token
95,65183,1,11776,1024,2,phrase_token
95,65183,2,24064,4096,0,recent_fallback
95,65183,3,32256,4096,0,recent_fallback
95,65183,4,40448,4096,0,recent_fallback
95,65183,5,48640,4096,0,recent_fallback
95,65183,6,56832,4096,0,recent_fallback
95,65183,0,11776,256,2,phrase_token
95,65183,1,11776,1024,2,phrase_token
95,65183,2,24064,4096,0,recent_fallback
95,65183,3,32256,4096,0,recent_fallback
95,65183,4,40448,4096,0,recent_fallback
95,65183,5,48640,4096,0,recent_fallback
95,65183,6,56832,4096,0,recent_fallback
96,65896,0,47872,256,2,phrase_token
96,65896,1,16128,256,1,phrase_token
96,65896,2,24832,4096,0,recent_fallback
96,65896,3,33024,4096,0,recent_fallback
96,65896,4,41216,4096,0,recent_fallback
96,65896,5,49408,4096,0,recent_fallback
96,65896,6,57600,4096,0,recent_fallback
96,65896,0,47872,256,2,phrase_token
96,65896,1,16128,256,1,phrase_token
96,65896,2,24832,4096,0,recent_fallback
96,65896,3,33024,4096,0,recent_fallback
96,65896,4,41216,4096,0,recent_fallback
96,65896,5,49408,4096,0,recent_fallback
96,65896,6,57600,4096,0,recent_fallback
97,66623,0,47872,256,2,phrase_token
97,66623,1,16128,256,1,phrase_token
97,66623,2,28928,256,1,phrase_token
97,66623,3,33792,4096,0,recent_fallback
97,66623,4,41984,4096,0,recent_fallback
97,66623,5,50176,4096,0,recent_fallback
97,66623,6,58368,4096,0,recent_fallback
98,67196,0,6656,256,1,phrase_token
98,67196,1,13056,256,1,phrase_token
98,67196,2,26112,4096,0,recent_fallback
98,67196,3,34304,4096,0,recent_fallback
98,67196,4,42496,4096,0,recent_fallback
98,67196,5,50688,4096,0,recent_fallback
98,67196,6,58880,4096,0,recent_fallback
98,67196,0,6656,256,1,phrase_token
98,67196,1,13056,256,1,phrase_token
98,67196,2,26112,4096,0,recent_fallback
98,67196,3,34304,4096,0,recent_fallback
98,67196,4,42496,4096,0,recent_fallback
98,67196,5,50688,4096,0,recent_fallback
98,67196,6,58880,4096,0,recent_fallback
99,67986,0,4608,256,1,phrase_token
99,67986,1,6656,256,1,phrase_token
99,67986,2,13056,256,1,phrase_token
99,67986,3,66048,256,1,phrase_token
99,67986,4,43264,4096,0,recent_fallback
99,67986,5,51456,4096,0,recent_fallback
99,67986,6,59648,4096,0,recent_fallback
99,67986,0,4608,256,1,phrase_token
99,67986,1,6656,256,1,phrase_token
99,67986,2,13056,256,1,phrase_token
99,67986,3,66048,256,1,phrase_token
99,67986,4,43264,4096,0,recent_fallback
99,67986,5,51456,4096,0,recent_fallback
99,67986,6,59648,4096,0,recent_fallback
100,68605,0,47872,256,2,phrase_token
100,68605,1,16128,256,1,phrase_token
100,68605,2,41728,256,1,phrase_token
100,68605,3,35584,4096,0,recent_fallback
100,68605,4,43776,4096,0,recent_fallback
100,68605,5,51968,4096,0,recent_fallback
100,68605,6,60160,4096,0,recent_fallback
101,69220,0,11776,256,2,phrase_token
101,69220,1,11776,1024,2,phrase_token
101,69220,2,67328,256,1,phrase_token
101,69220,3,36352,4096,0,recent_fallback
101,69220,4,44544,4096,0,recent_fallback
101,69220,5,52736,4096,0,recent_fallback
101,69220,6,60928,4096,0,recent_fallback
101,69220,0,11776,256,2,phrase_token
101,69220,1,11776,1024,2,phrase_token
101,69220,2,67328,256,1,phrase_token
101,69220,3,36352,4096,0,recent_fallback
101,69220,4,44544,4096,0,recent_fallback
101,69220,5,52736,4096,0,recent_fallback
